name,altitude,latitude,longitude
Pica d'Estats,3143,42.666946,1.397888
Pic de Comaloforno,3029,42.591382,0.827834
Besiberri Sud,3023,42.593797,0.825995
Punta Alta de Comalesbienes,3014,42.585692,0.880299
Tuc de Molières,3010,42.62947,0.698561
Besibèrri Nòrd,3008,42.605266,0.826303
Pic Rodó de Canalbona,3004,42.662622,1.401648
Punta de Passet,2997,42.589406,0.827135
Besiberri del Mig,2995,42.599909,0.824942
Pic de Comalesbienes,2993,42.583996,0.878663
Pic d'Abellers,2983,42.594889,0.820485
Pic de la Pala Alta de Sarradé,2983,42.574731,0.890942
Pic de Peguera,2982,42.540532,1.011946
Punta de Lequeutre,2966,42.587363,0.827681
Pic de Canalbona,2965,42.656675,1.405924
Pic de Contraix,2958,42.585254,0.906917
Pic dels Estanys,2956,42.666464,1.37075
Punta Senyalada,2952,42.591391,0.808468
Pic de Subenuix,2950,42.554947,0.979381
Pic de Sarradé,2942,42.578398,0.911679
Pic de Baborte,2933,42.657478,1.367068
Gran Tuc de Colomèrs,2933,42.58939,0.937807
Roca Entravessada,2928,42.598405,1.442198
Puigpedrós,2915,42.487593,1.761896
Pic de la Mainera,2909,42.524495,1.027162
Monteixo,2905,42.601739,1.361638
Tuc de Saburó,2905,42.535087,1.018914
Pic dels Vidals,2903,42.534651,0.99796
Pic Morto,2902,42.553943,0.987306
Pica Roja,2901,42.624952,1.420428
Gran Pic del Pessó,2894,42.50949,0.924078
la Creu de Colomers,2894,42.593352,0.917871
Montsaliente,2890,42.603116,1.008677
Tuc des Estanhets,2886,42.61927,0.80699
Pic Tort,2886,42.533771,0.988843
Punta d'Harlé,2885,42.610419,0.842594
Tossal Pla,2883,42.614923,0.812763
Pala Pedregosa de Llessui,2882,42.516302,1.023074
Pic Inferior de Subenuix,2881,42.559922,0.97961
Tuc de Maubèrme,2881,42.793755,0.917142
Pic de Sobremonestero,2879,42.544044,0.994907
Tuc Blanc,2879,42.591042,0.93055
Pic de Monestero,2877,42.546919,1.018856
Pic de la Pala Gespadera,2876,42.572502,0.881916
Pic de Baserca,2872,42.587155,0.79983
Pui de Linya,2869,42.566007,1.043239
Mont-roig,2864,41.903022,0.878651
Montorroio,2862,42.50314,1.03112
el Pa de Sucre,2862,42.61358,0.846435
Tuc de Ratèra,2861,42.601367,0.95338
Agulla de Baiau,2860,42.590289,1.434162
Pic de Gerri,2859,42.597553,1.394231
Pic de Certascan,2853,42.71201,1.277656
Pic de Ventolau,2851,42.690664,1.190428
Pic d'Amitges,2848,42.6091,0.986762
Tuc Inferior de Saburó,2847,42.537986,1.021988
Tossal Bovinar,2842,42.46276,1.631683
Tossau deth Lac Tòrt,2842,42.61952,0.812993
Pic de Mar,2841,42.538605,0.998515
Certascan Nord,2839,42.714089,1.278136
Tosseta de l'Esquella,2835,42.489778,1.727052
Montardo,2833,42.633337,0.875341
Pui Pla,2831,42.595584,1.006382
Pics de Comalespada,2830,42.594012,0.878774
Pic de Saboredo,2829,42.607936,0.980997
Pic de Palomer,2828,42.594238,1.401861
Pic de Norís,2828,42.604135,1.375643
Pic del Cap d'Estany Roi,2827,42.585547,0.800496
Pic de Xemeneies,2827,42.621761,1.006827
Pic Superior de la Vaca,2820,42.416598,2.201573
Pic de l'Estany Fondo,2815,42.653489,1.394427
Pic de Morrano,2813,42.524556,0.94357
Tuc dera Canau de Rius,2812,42.610783,0.821857
los Tres Puis,2811,42.617113,1.000574
Bony del Manyer,2809,42.473678,1.73302
Pic de la Fossa del Gegant,2807,42.41733,2.190491
Pic de Dellui,2802,42.538632,0.953665
les Picardes,2802,42.527219,1.052656
Cap de Reguera,2800,42.518123,0.944876
Roc de Lliçà,2800,42.474111,1.723331
Tossal des Mussoles,2800,42.518431,0.927495
Pic d'Areste,2799,42.63969,1.396161
Noucreus,2798,42.418222,2.180403
Pic Petit del Pessó,2792,42.503442,0.917341
Cim Alt de les Arques,2791,42.410439,2.188963
Tuc des Carants,2791,42.514065,0.903331
Cap de la Pala Alta d'Estany Llong,2790,42.581861,0.941796
Pic d'Escorbes,2788,42.598395,1.411287
Pic de Salòria,2788,42.514458,1.38515
Tuc de Conangles,2784,42.626932,0.805051
els Rocs Blancs,2783,42.275513,2.198275
Rocs Blancs,2783,42.464191,1.621045
Tumeneia,2783,42.61803,0.851818
Tuc del Port de Caldes,2783,42.616185,0.894542
Bony de les Picardes,2782,42.531077,1.056615
Cim Baix de les Arques,2782,42.409324,2.187944
Pic de Flamisella,2782,42.712764,1.261394
Muntanyó,2781,42.53093,1.044797
Pic de Comaltes,2781,42.570753,0.87352
Tuc de Contesa,2779,42.615521,0.788578
la Torre de Cabús,2778,42.527446,1.407157
Pui de la Bonaigua,2778,42.627204,1.019494
Tuc de Lluçà,2777,42.610309,0.901153
el Castell de Rus,2776,42.491668,0.924035
Pic de l'Estanyet,2776,42.497217,0.919665
Pic de la Lleia,2775,42.714725,1.260692
la Mugueta,2773,42.475942,1.66816
Tossal de Paiasso,2772,42.472942,0.930323
Tossal de la Montanyeta,2771,42.55581,0.967587
Agulles de Monestero,2766,42.556547,0.99045
Pic de Moredo,2765,42.718948,1.049918
Pic de Pedres Blanques,2765,42.65009,1.373117
Tossal d'Escobedieso,2763,42.593854,0.789941
Pic dels Tres Estanys,2763,42.685319,1.190632
Bassiets,2762,42.526611,1.394455
Tuqueta de Saboredo,2761,42.611112,0.984966
Monturull,2760,42.450169,1.581235
Cap de les Raspes Roies,2758,42.476819,0.890086
Pic de la Gallina,2756,42.701172,1.176143
Penyes de Salado,2755,42.51412,0.949146
Bony Blanc,2755,42.532821,0.896323
Pic Major de la Gallina,2754,42.697913,1.175067
Pic de Travessani,2754,42.611878,0.891432
Pica de Cerví,2754,42.452952,0.879238
Pic de Perafita,2753,42.459192,1.585507
Cim de Costa Blava,2752,42.689813,1.196398
Pic de la Tallada Llarga,2750,42.608037,0.908885
Pic Roi,2750,42.565205,0.79819
Tossau de Mar,2749,42.629834,0.827839
Modalons d'en Sobirana,2749,42.424524,2.230707
Gran Encantat,2748,42.568409,1.014838
Cim de l'Ortigar,2748,42.385958,2.130833
Agulles de Bassiero,2747,42.601926,0.997732
Cap de les Pales del Planell Gran,2746,42.564849,0.911912
Punta Sageta,2744,42.605888,0.975175
Pic de Vallpeguera,2742,42.592764,1.421534
Pic Fosser,2742,42.519441,0.968803
Cim de la Coma del Clot,2739,42.396615,2.185216
Tuc de Moró,2739,42.481951,0.905267
Puis de Gerber,2738,42.617965,0.982916
lo Vedo,2737,42.694401,1.19209
la Carbassa,2736,42.452908,1.727045
Petit Encantat,2734,42.569886,1.016411
Pic del Portarró,2734,42.583753,0.970128
Pic de Guerossos,2733,42.702978,1.281825
Tuc de Parros,2731,42.767785,0.933058
Tuc de la Mina,2731,42.493598,0.933657
Tossalet de la Coma,2731,42.496449,1.022763
Tuc de Pòdo,2728,42.597875,0.935955
Puig de Fontnegra,2727,42.403183,2.181778
Cim de la Costa de Montmajor,2724,42.480603,1.755975
Bony Negre,2724,42.528622,0.898144
Tuc des Costes,2723,42.51999,0.8969
Tossal de la Mina,2723,42.495889,0.753056
Tuc de Bonabé,2720,42.713287,1.038006
Cap de Broate,2717,42.689397,1.361044
Gra de Fajol,2714,42.415478,2.247748
les Agudes,2714,42.598553,1.027569
el Gra de Fajol,2714,42.257241,2.441645
Torreneules,2713,42.390929,2.196237
Pic de Sudorn,2711,42.535047,1.048553
Cap de Crabes,2709,42.588085,0.965587
Pic de Calberante,2708,42.690263,1.182151
Tuc Gran de Sendrosa,2702,42.623943,0.946861
lo Tésol,2699,42.608398,1.039254
Tuc des Monges,2698,42.622448,0.86603
Pic dels Feixans del Prat,2696,42.56361,0.994719
Pic de la Bassera,2693,42.535388,1.413567
les Borregues,2692,42.396349,2.247709
Cap de Pletamala,2692,42.56221,0.908394
Tuc de Montoliu,2691,42.783207,0.935858
Pic de Bacivers,2691,42.437413,2.261054
Pic de Llats,2689,42.643676,1.371699
Roca Blanca,2688,40.74632,0.344212
Agulla de Saboredo,2686,42.612428,0.976341
Pic de Llena,2686,42.446898,0.917903
Pic del Clot d'Espós,2685,42.556225,0.791088
Pic de la Coma del Forn,2684,42.677918,1.190188
Cap des Cometes,2681,42.523324,0.895083
la Tosseta,2680,42.003206,0.713601
Agulla de Guerossos,2680,42.704874,1.281553
Pic de Marimanya,2679,42.709224,1.012308
Tuc de Ribereta,2675,42.626158,0.895242
Agulla del Portarró,2675,42.571724,0.980423
Tuc de la Montanyeta,2674,42.552876,0.952518
Cim del Borrut,2669,42.375719,2.121439
Tossal de Rus,2667,42.485146,0.921477
Roca Cigalera,2667,42.651014,1.330932
Tuc de Marterat,2666,42.713966,1.252189
Agulles d'Amitges,2661,42.603031,0.984251
Tossa del Pas dels Lladres,2661,42.373776,2.08945
el Castellet de Moró,2661,42.488828,0.902604
Tuc de la Llança,2658,42.684089,0.990517
Tuc de Tòrt,2656,42.630595,0.804007
Pica Cerví de Durro,2656,42.461234,0.866419
Pic de Locampo,2655,42.628469,0.978016
Pic de Sabollés,2655,42.69203,1.273008
Tres Pics,2652,42.645082,1.352267
Pic de Pilàs,2652,42.682847,1.131507
Pic de Munyidor,2649,42.560215,0.792518
Pic de Gueron,2647,42.699343,1.282634
lo Pinetó,2646,42.599101,1.039534
Bony del Graller,2645,42.52734,0.917728
Tuc de Bacivèr,2645,42.712648,0.991782
Pic de Serós,2643,42.629319,0.982305
Pic de la Roia de Mollàs,2643,42.716404,1.192342
Cap dels Aspres de Broate,2641,42.688655,1.354509
Pic de Qüenca,2639,42.699824,1.054302
Tossal Esbonllat,2637,42.606942,0.84731
Pic d'Obacs,2636,42.548457,0.794065
Tuc de Sarrahèra,2634,42.644271,0.796342
Malhs de Rius,2633,42.643815,0.808226
Campirme,2632,42.659557,1.193612
lo Graller,2632,42.497603,1.035955
Cap dels Vedats d'Erta,2632,42.454137,0.852918
Pic del Coll de la Barra,2632,42.443017,1.597179
el Graller,2632,42.465751,0.849882
Tuca de Bargues,2632,42.681183,0.671718
Cap de Marimanha,2629,42.713423,1.005189
Agulles de Saboredo,2628,42.622907,0.975672
Cap de Montgosso,2626,42.779727,1.042217
Bony de la Redona,2626,42.488028,0.887045
Pic Oriental del Pinetó,2626,42.597447,1.033442
Cap del Muntanyó d'Àrreu,2626,42.680719,0.998633
Estanyardo,2625,42.684955,1.139316
Tossal de Calma,2620,42.441081,0.943859
Roc Negre,2619,42.469339,1.712894
Pic de Montarenyo,2618,42.727721,1.229036
Pic de Rosari de Baciver,2617,42.709086,1.020946
Escornacrabes,2613,42.683938,0.986556
Puig de les Gralleres,2613,42.286647,1.623845
lo Sentinella,2613,42.609673,1.377522
el Sentinella,2613,41.591294,1.823485
Pic de Serra Plana,2611,42.64104,1.221129
Pujolar de Roca Grossa,2611,42.286992,1.605402
Pui de les Ares,2611,42.632736,1.011367
Tuc del Muntanyó,2610,42.467358,0.885879
Cap de la Costa de Llats,2609,42.641628,1.372033
Cap de Canalets,2608,42.699142,1.295153
Tuc deth Pòrt de Vielha,2605,42.641891,0.76553
Tossal de la Costa,2604,42.41872,0.852001
Pic de Costa Cabirolera,2604,42.281505,1.670419
Pui del Cap de l'Estany,2603,42.717578,1.309242
Agulles de Travessani,2599,42.609079,0.887613
Pic de la Portella,2597,42.573651,1.261451
Tossal de les Tres Muntanyes,2596,42.442026,0.928824
la Muntanyeta,2594,42.467756,0.933899
Pic de Mariola,2594,42.720072,1.216637
